Flower_ID;Net_placement_day;Experiment_day;Treatment;Set_number;Start_time;Max_noise_start;Min_noise_end;Temperature_start;End_time;Max_noise_end;Min_noise_end;Temperature_end;Brown_patches;Net_removal_day;Fertilization;Cluster_location;Total_flowers_on_cluster;Fruit_marketing_value;Marketing_value_score;Seed_count
p01;2023.05.19;2023.05.20;DN;1;9:58;81.7;58.3;23.3;12:58;85.1;76.4;30.8;Yes;2023.05.24 9:20;Yes;6;8;sold in bulk;2;44
p02;2023.05.19;2023.05.20;NN;1;10:00;56;43.7;24.5;13:00;52.8;48.3;31.2;No;2023.05.24 9:25;Yes;2;8;sold in assortments of seven;3;133
p03;2023.05.19;2023.05.20;SF;1;10:05;54.9;42.2;27.3;Non relevant;47.7;42.7;32.3;Non relevant;2023.05.24 9:32;Yes;8;8;sold in assortments of seven;3;81
p04;2023.05.19;2023.05.21;DN;4;9:22;86;80.3;24.6;12:22;78.9;74.8;32.6;No;2023.05.24 15:33;Yes;6;6;sold in assortments of seven;3;69
p05;2023.05.19;2023.05.20;NN;2;10:30;52.6;46.1;28.5;13:30;52.8;49.4;33.3;No;2023.05.24 9:39;Yes;4;6;sold in assortments of seven;3;100
p06;2023.05.19;2023.05.21;SF;4;9:36;66.8;51.2;24.5;Non relevant;50.9;42.5;33.6;Non relevant;2023.05.24 1:43;No;5;6;sold in assortments of seven;3;85
p07;2023.05.19;2023.05.20;SF;3;11:05;58.6;45.8;30.7;Non relevant;48.4;41.2;30;Non relevant;2023.05.24 9:59;Yes;5;8;sold in assortments of seven;3;101
p08;2023.05.19;2023.05.20;DN;2;10:40;86.5;68.5;28.5;13:40;76.2;77;32;Yes;2023.05.24 9:45;Yes;1;7;sold in assortments of six;4;160
p09;2023.05.19;2023.05.21;NN;4;9:45;50.8;45.7;27.3;12:45;55.6;41.1;34;Yes;2023.05.24 15:48;Yes;2;9;sold in assortments of six;4;195
p10;2023.05.19;2023.05.20;SF;2;10:50;51;48.6;28.3;Non relevant;55.1;50.4;30;Non relevant;2023.05.24 9:52;No;3;8;sold in assortments of seven;3;64
p11;2023.05.19;2023.05.20;NN;3;11:35;64.6;53;29.8;14:35;66.5;56.8;30;Yes;2023.05.24 10:20;Yes;2;8;sold in assortments of six;4;129
p12;2023.05.19;2023.05.20;DN;3;11:25;89.2;70;27.9;14:25;81.4;67.8;30.4;Yes;2023.05.24 10:09;Yes;6;6;na;na;na
p13;2023.05.20;2023.05.21;NN;5;10:00;52.4;45.2;28.5;13:00;57.5;42.7;36.3;No;2023.05.24 16:00;Yes;2;6;sold in assortments of six;4;109
p14;2023.05.20;2023.05.21;DN;5;10:08;86.2;45.4;28.6;13:08;86.3;78.2;34.5;No;2023.05.24 16:34;No;5;7;non developed fruit;0;0
p15;2023.05.20;2023.05.21;SF;5;10:15;68.5;65.4;28.3;Non relevant;68.3;65.4;34;Non relevant;2023.05.24 16:36;Yes;4;6;sold in bulk;2;34
